raw_citation;normalized_citation
BAG AP Nr. 5 zu § 62 ArbGG 1979 m. Anm. Stöber = NJW 1990, 2579;Bundesarbeitsgericht (BAG), Arbeitsrechtliche Praxis Nummer 5 zu § 62 Arbeitsgerichtsgesetz (ArbGG) 1979 mit Anmerkung von Stöber = Neue Juristische Wochenschrift (NJW) 1990, Seite 2579
Bl. 13 d. A.;Blatt 13 der Akte
APS-Dörner, § 1 KSchG, Rz. 343 mit ausführlicher Ableitung des Abmahnungsprinzips;Dörner in Ascheid/Preis/Schmidt, § 1 Kündigungsschutzgesetz (KSchG), Randnummer 343 mit ausführlicher Ableitung des Abmahnungsprinzips
vgl. BAG NJW 2001, Seite 204;vgl. Bundesarbeitsgericht (BAG), Neue Juristische Wochenschrift (NJW) 2001, Seite 204
§ 613 a Abs. 1 Satz 1 BGB;§ 613a Absatz 1 Satz 1 Bürgerliches Gesetzbuch (BGB)
§ 613 a Abs. 1 Satz 2 BGB;§ 613a Absatz 1 Satz 2 Bürgerliches Gesetzbuch (BGB)
§ 613 a Abs. 1 Satz 3 BGB;§ 613a Absatz 1 Satz 3 Bürgerliches Gesetzbuch (BGB)
vgl. BAG BB 1977 S. 1202;vgl. Bundesarbeitsgericht (BAG), Betriebs-Berater (BB) 1977, Seite 1202
APS-Backhaus, § 14 TzBfG Rdz. 73;Backhaus in Ascheid/Preis/Schmidt, § 14 Teilzeit- und Befristungsgesetz (TzBfG), Randnummer 73
Bl. 264 d. A.;Blatt 264 der Akte
BAG NJW 1971, S. 689;Bundesarbeitsgericht (BAG), Neue Juristische Wochenschrift (NJW) 1971, Seite 689
BAG NJW 2001, Seite 204;Bundesarbeitsgericht (BAG), Neue Juristische Wochenschrift (NJW) 2001, Seite 204
BAG NZA 2006, Seite 917;Bundesarbeitsgericht (BAG), Neue Zeitschrift für Arbeitsrecht (NZA) 2006, Seite 917
BAG NZA 1997, Seite 478;Bundesarbeitsgericht (BAG), Neue Zeitschrift für Arbeitsrecht (NZA) 1997, Seite 478
BAG RzK I 5 g Nr. 33;Bundesarbeitsgericht (BAG), Rechtsprechung zum Kündigungsschutzrecht (RzK) I 5 g Nummer 33
APS-Dörner, § 626 BGB, Rz. 356;Dörner in Ascheid/Preis/Schmidt, § 626 Bürgerliches Gesetzbuch (BGB), Randnummer 356
§ 17a Abs. 2 Satz 1 Nr. 1 SG;§ 17a Absatz 2 Satz 1 Nummer 1 Soldatengesetz (SG)
§ 16 Abs. 1 RStruktFG 2018;§ 16 Absatz 1 Restrukturierungsfondsgesetz (RStruktFG)
§ 1 Abs. 3 WBO;§ 1 Absatz 3 Wehrbeschwerdeordnung (WBO)
Art. 20 Abs. 2 Satz 1 i.V.m. Art. 79 Abs. 3 GG;Artikel 20 Absatz 2 Satz 1 in Verbindung mit Artikel 79 Absatz 3 Grundgesetz (GG)
§ 1 Abs. 1 FinDAG;§ 1 Absatz 1 Finanzdienstleistungsaufsichtsgesetz (FinDAG)
C-518/07;Europäischer Gerichtshof, Urteil vom 09.03.2010 - C-518/07
BTDrucks 18/1340, S. 4;Bundestag - Drucksache 18/1340, Seite 4
BTDrucks 18/2150, S. 564;Bundestag - Drucksache 18/2150, Seite 564
NJW 2002, 1190;Bundesverfassungsgericht, Beschluss vom 20.02.2002, Aktenzeichen 1 BvR 423/99, Neue Juristische Wochenschrift (NJW) 2002, Seite 1190
8 U 87/97;Oberlandesgericht Hamburg, Urteil vom 27.01.1999, Aktenzeichen 8 U 87/97
BGH, Urteile vom 30. Oktober 2012 - XI ZR 324/11;Bundesgerichtshof, Urteil vom 30.10.2012, Aktenzeichen XI ZR 324/11
§ 134 BGB;§ 134 Bürgerliches Gesetzbuch
§ 556g Abs. 2 BGB;§ 556g Absatz 2 Bürgerliches Gesetzbuch
§ 2 Abs. 1, §§ 3, 5, 10 RDG nichtig;§ 2 Absatz 1, §§ 3, 5 und 10 Rechtsdienstleistungsgesetz (RDG)
vgl. Tiedemann in LK-StGB, 11. Aufl., § 265b Rn. 29, Wohlers in MüKo-StGB, § 265b Rn. 9 mwN;vergleiche Tiedemann, Leipziger Kommentar zum Strafgesetzbuch, 11. Auflage, § 265b, Randnummer 29, Wohlers, Münchner Kommentar zum Strafgesetzbuch, § 265b, Randnummer 9, mit weiteren Nachweisen
Perron/Eisele, in: Schönke/Schröder 28. Aufl., § 177 Rn. 9;Perron/Eisele in: Schönke/Schröder 28. Auflage, § 177, Randnummer 9
vgl. Palandt/Heldrich, BGB, 61. Aufl., EGBGB Art. 41 Rn. 4;Bürgerliches Gesetzbuch, 61. Auflage, Einführungsgesetz zum Bürgerlichen Gesetzbuch, Artikel 41, Randnummer 4
Staudinger/v. Hoffmann, BGB (2001), Art. 41 Rn. 11;von Hoffmann in Staudinger, Bürgerliches Gesetzbuch, 2001, Artikel 41, Randnummer 11
Kreuzer, RabelsZ 65 (2001), 383, 433;Kreuzer, Rabels Zeitschrift für ausländisches und internationales Privatrecht, Jahrgang 65, 2001, Seite 383, Fundstelle Seite 433
BGHZ 47, 58, 66;Entscheidungssammlung des Bundesgerichtshofes in Zivilsachen, Band 47, Seite 58, Fundstelle Seite 66
